Replica,Tipo de algoritmo,Grupo,Respuesta,Acerto
1,8_1,Nelson,Nelson,true
1,8_2,Nelson,Nelson,true
1,16_2,Nelson,Nelson,true
1,8_1,Nelson,Nelson,true
1,8_2,Nelson,Nelson,true
1,16_2,Nelson,Nelson,true
1,8_1,Carlos,Carlos,true
1,8_2,Carlos,Carlos,true
1,16_2,Carlos,Carlos,true
1,8_1,Carlos,Carlos,true
1,8_2,Carlos,Carlos,true
1,16_2,Carlos,Carlos,true
1,8_1,Santiago,Santiago,true
1,8_2,Santiago,Santiago,true
1,16_2,Santiago,Santiago,true
1,8_1,Santiago,Santiago,true
1,8_2,Santiago,Santiago,true
1,16_2,Santiago,Santiago,true
1,8_1,Nicolas,Nicolas,true
1,8_2,Nicolas,Nicolas,true
1,16_2,Nicolas,Nicolas,true
1,8_1,Nicolas,Nicolas,true
1,8_2,Nicolas,Nicolas,true
1,16_2,Nicolas,Nicolas,true
2,8_1,Nelson,Nelson,true
2,8_2,Nelson,Nelson,true
2,16_2,Nelson,Nelson,true
2,8_1,Nelson,Nelson,true
2,8_2,Nelson,Nelson,true
2,16_2,Nelson,Nelson,true
2,8_1,Carlos,Carlos,true
2,8_2,Carlos,Carlos,true
2,16_2,Carlos,Carlos,true
2,8_1,Carlos,Carlos,true
2,8_2,Carlos,Carlos,true
2,16_2,Carlos,Carlos,true
2,8_1,Santiago,Santiago,true
2,8_2,Santiago,Santiago,true
2,16_2,Santiago,Santiago,true
2,8_1,Santiago,Santiago,true
2,8_2,Santiago,Santiago,true
2,16_2,Santiago,Santiago,true
2,8_1,Nicolas,Nicolas,true
2,8_2,Nicolas,Nicolas,true
2,16_2,Nicolas,Nicolas,true
2,8_1,Nicolas,Nicolas,true
2,8_2,Nicolas,Nicolas,true
2,16_2,Nicolas,Nicolas,true
3,8_1,Nelson,Nelson,true
3,8_2,Nelson,Nelson,true
3,16_2,Nelson,Nelson,true
3,8_1,Nelson,Nelson,true
3,8_2,Nelson,Nelson,true
3,16_2,Nelson,Nelson,true
3,8_1,Carlos,Carlos,true
3,8_2,Carlos,Carlos,true
3,16_2,Carlos,Carlos,true
3,8_1,Carlos,Carlos,true
3,8_2,Carlos,Carlos,true
3,16_2,Carlos,Carlos,true
3,8_1,Santiago,Santiago,true
3,8_2,Santiago,Santiago,true
3,16_2,Santiago,Santiago,true
3,8_1,Santiago,Santiago,true
3,8_2,Santiago,Santiago,true
3,16_2,Santiago,Santiago,true
3,8_1,Nicolas,Nicolas,true
3,8_2,Nicolas,Nicolas,true
3,16_2,Nicolas,Nicolas,true
3,8_1,Nicolas,Nicolas,true
3,8_2,Nicolas,Nicolas,true
3,16_2,Nicolas,Nicolas,true
4,8_1,Nelson,Nelson,true
4,8_2,Nelson,Nelson,true
4,16_2,Nelson,Nelson,true
4,8_1,Nelson,Nelson,true
4,8_2,Nelson,Nelson,true
4,16_2,Nelson,Nelson,true
4,8_1,Carlos,Carlos,true
4,8_2,Carlos,Carlos,true
4,16_2,Carlos,Carlos,true
4,8_1,Carlos,Carlos,true
4,8_2,Carlos,Carlos,true
4,16_2,Carlos,Carlos,true
4,8_1,Santiago,Santiago,true
4,8_2,Santiago,Santiago,true
4,16_2,Santiago,Santiago,true
4,8_1,Santiago,Santiago,true
4,8_2,Santiago,Santiago,true
4,16_2,Santiago,Santiago,true
4,8_1,Nicolas,Nicolas,true
4,8_2,Nicolas,Nicolas,true
4,16_2,Nicolas,Nicolas,true
4,8_1,Nicolas,Nicolas,true
4,8_2,Nicolas,Nicolas,true
4,16_2,Nicolas,Nicolas,true
5,8_1,Nelson,Nelson,true
5,8_2,Nelson,Nelson,true
5,16_2,Nelson,Nelson,true
5,8_1,Nelson,Nelson,true
5,8_2,Nelson,Nelson,true
5,16_2,Nelson,Nelson,true
5,8_1,Carlos,Carlos,true
5,8_2,Carlos,Carlos,true
5,16_2,Carlos,Carlos,true
5,8_1,Carlos,Carlos,true
5,8_2,Carlos,Carlos,true
5,16_2,Carlos,Carlos,true
5,8_1,Santiago,Santiago,true
5,8_2,Santiago,Santiago,true
5,16_2,Santiago,Santiago,true
5,8_1,Santiago,Santiago,true
5,8_2,Santiago,Santiago,true
5,16_2,Santiago,Santiago,true
5,8_1,Nicolas,Nicolas,true
5,8_2,Nicolas,Nicolas,true
5,16_2,Nicolas,Nicolas,true
5,8_1,Nicolas,Nicolas,true
5,8_2,Nicolas,Nicolas,true
5,16_2,Nicolas,Nicolas,true
6,8_1,Nelson,Nelson,true
6,8_2,Nelson,Nelson,true
6,16_2,Nelson,Nelson,true
6,8_1,Nelson,Nelson,true
6,8_2,Nelson,Nelson,true
6,16_2,Nelson,Nelson,true
6,8_1,Carlos,Carlos,true
6,8_2,Carlos,Carlos,true
6,16_2,Carlos,Carlos,true
6,8_1,Carlos,Carlos,true
6,8_2,Carlos,Carlos,true
6,16_2,Carlos,Carlos,true
6,8_1,Santiago,Santiago,true
6,8_2,Santiago,Santiago,true
6,16_2,Santiago,Santiago,true
6,8_1,Santiago,Santiago,true
6,8_2,Santiago,Santiago,true
6,16_2,Santiago,Santiago,true
6,8_1,Nicolas,Nicolas,true
6,8_2,Nicolas,Nicolas,true
6,16_2,Nicolas,Nicolas,true
6,8_1,Nicolas,Nicolas,true
6,8_2,Nicolas,Nicolas,true
6,16_2,Nicolas,Nicolas,true
7,8_1,Nelson,Nelson,true
7,8_2,Nelson,Nelson,true
7,16_2,Nelson,Nelson,true
7,8_1,Nelson,Nelson,true
7,8_2,Nelson,Nelson,true
7,16_2,Nelson,Nelson,true
7,8_1,Carlos,Carlos,true
7,8_2,Carlos,Carlos,true
7,16_2,Carlos,Carlos,true
7,8_1,Carlos,Carlos,true
7,8_2,Carlos,Carlos,true
7,16_2,Carlos,Carlos,true
7,8_1,Santiago,Santiago,true
7,8_2,Santiago,Santiago,true
7,16_2,Santiago,Santiago,true
7,8_1,Santiago,Santiago,true
7,8_2,Santiago,Santiago,true
7,16_2,Santiago,Santiago,true
7,8_1,Nicolas,Nicolas,true
7,8_2,Nicolas,Nicolas,true
7,16_2,Nicolas,Nicolas,true
7,8_1,Nicolas,Nicolas,true
7,8_2,Nicolas,Nicolas,true
7,16_2,Nicolas,Nicolas,true
8,8_1,Nelson,Nelson,true
8,8_2,Nelson,Nelson,true
8,16_2,Nelson,Nelson,true
8,8_1,Nelson,Nelson,true
8,8_2,Nelson,Nelson,true
8,16_2,Nelson,Nelson,true
8,8_1,Carlos,Carlos,true
8,8_2,Carlos,Carlos,true
8,16_2,Carlos,Carlos,true
8,8_1,Carlos,Carlos,true
8,8_2,Carlos,Carlos,true
8,16_2,Carlos,Carlos,true
8,8_1,Santiago,Santiago,true
8,8_2,Santiago,Santiago,true
8,16_2,Santiago,Santiago,true
8,8_1,Santiago,Santiago,true
8,8_2,Santiago,Santiago,true
8,16_2,Santiago,Santiago,true
8,8_1,Nicolas,Nicolas,true
8,8_2,Nicolas,Nicolas,true
8,16_2,Nicolas,Nicolas,true
8,8_1,Nicolas,Nicolas,true
8,8_2,Nicolas,Nicolas,true
8,16_2,Nicolas,Nicolas,true
9,8_1,Nelson,Nelson,true
9,8_2,Nelson,Nelson,true
9,16_2,Nelson,Nelson,true
9,8_1,Nelson,Nelson,true
9,8_2,Nelson,Nelson,true
9,16_2,Nelson,Nelson,true
9,8_1,Carlos,Carlos,true
9,8_2,Carlos,Carlos,true
9,16_2,Carlos,Carlos,true
9,8_1,Carlos,Carlos,true
9,8_2,Carlos,Carlos,true
9,16_2,Carlos,Carlos,true
9,8_1,Santiago,Santiago,true
9,8_2,Santiago,Santiago,true
9,16_2,Santiago,Santiago,true
9,8_1,Santiago,Santiago,true
9,8_2,Santiago,Santiago,true
9,16_2,Santiago,Santiago,true
9,8_1,Nicolas,Nicolas,true
9,8_2,Nicolas,Nicolas,true
9,16_2,Nicolas,Nicolas,true
9,8_1,Nicolas,Nicolas,true
9,8_2,Nicolas,Nicolas,true
9,16_2,Nicolas,Nicolas,true
10,8_1,Nelson,Nelson,true
10,8_2,Nelson,Nelson,true
10,16_2,Nelson,Nelson,true
10,8_1,Nelson,Nelson,true
10,8_2,Nelson,Nelson,true
10,16_2,Nelson,Nelson,true
10,8_1,Carlos,Carlos,true
10,8_2,Carlos,Carlos,true
10,16_2,Carlos,Carlos,true
10,8_1,Carlos,Carlos,true
10,8_2,Carlos,Carlos,true
10,16_2,Carlos,Carlos,true
10,8_1,Santiago,Santiago,true
10,8_2,Santiago,Santiago,true
10,16_2,Santiago,Santiago,true
10,8_1,Santiago,Santiago,true
10,8_2,Santiago,Santiago,true
10,16_2,Santiago,Santiago,true
10,8_1,Nicolas,Nicolas,true
10,8_2,Nicolas,Nicolas,true
10,16_2,Nicolas,Nicolas,true
10,8_1,Nicolas,Nicolas,true
10,8_2,Nicolas,Nicolas,true
10,16_2,Nicolas,Nicolas,true
