replica,tamanho,algoritmo,localidad,tiempo
0,1,8_1,si,0.40868258476257324
0,1,8_2,si,0.4577453136444092
0,1,16_2,si,0.45865559577941895
0,1,8_1,no,0.41238880157470703
0,1,8_2,no,0.45937538146972656
0,1,16_2,no,0.47849369049072266
0,2,8_1,si,1.674698829650879
0,2,8_2,si,1.8899590969085693
0,2,16_2,si,1.8981235027313232
0,2,8_1,no,1.6843650341033936
0,2,8_2,no,1.911729335784912
0,2,16_2,no,1.9070866107940674
0,3,8_1,si,3.7937798500061035
0,3,8_2,si,4.24622368812561
0,3,16_2,si,4.286169052124023
0,3,8_1,no,3.8238000869750977
0,3,8_2,no,4.259132146835327
0,3,16_2,no,4.312083721160889
0,4,8_1,si,6.814031600952148
0,4,8_2,si,7.675306081771851
0,4,16_2,si,7.58307671546936
0,4,8_1,no,6.831710338592529
0,4,8_2,no,7.5965211391448975
0,4,16_2,no,7.681820869445801
1,1,8_1,si,0.40147924423217773
1,1,8_2,si,0.45012569427490234
1,1,16_2,si,0.45369720458984375
1,1,8_1,no,0.40413570404052734
1,1,8_2,no,0.451704740524292
1,1,16_2,no,0.46013307571411133
1,2,8_1,si,1.6520116329193115
1,2,8_2,si,1.853055715560913
1,2,16_2,si,1.8730344772338867
1,2,8_1,no,1.6682260036468506
1,2,8_2,no,1.8687410354614258
1,2,16_2,no,1.8940048217773438
1,3,8_1,si,3.84881591796875
1,3,8_2,si,4.324070930480957
1,3,16_2,si,4.33024263381958
1,3,8_1,no,3.8584389686584473
1,3,8_2,no,4.294103145599365
1,3,16_2,no,4.2955944538116455
1,4,8_1,si,7.008407831192017
1,4,8_2,si,7.712903738021851
1,4,16_2,si,7.5944976806640625
1,4,8_1,no,6.823649883270264
1,4,8_2,no,7.604184865951538
1,4,16_2,no,7.656343221664429
2,1,8_1,si,0.4037296772003174
2,1,8_2,si,0.4548468589782715
2,1,16_2,si,0.45639848709106445
2,1,8_1,no,0.4045381546020508
2,1,8_2,no,0.45344090461730957
2,1,16_2,no,0.45473241806030273
2,2,8_1,si,1.6725609302520752
2,2,8_2,si,1.8605952262878418
2,2,16_2,si,1.8862254619598389
2,2,8_1,no,1.678389310836792
2,2,8_2,no,1.8739399909973145
2,2,16_2,no,1.9155139923095703
2,3,8_1,si,3.9238831996917725
2,3,8_2,si,4.27583909034729
2,3,16_2,si,4.42160964012146
2,3,8_1,no,3.8937296867370605
2,3,8_2,no,4.271193027496338
2,3,16_2,no,4.346507787704468
2,4,8_1,si,6.82625150680542
2,4,8_2,si,7.607066631317139
2,4,16_2,si,7.651949167251587
2,4,8_1,no,6.911769866943359
2,4,8_2,no,7.616750717163086
2,4,16_2,no,7.722702980041504
3,1,8_1,si,0.404407262802124
3,1,8_2,si,0.45324182510375977
3,1,16_2,si,0.45679593086242676
3,1,8_1,no,0.4058222770690918
3,1,8_2,no,0.45561671257019043
3,1,16_2,no,0.45941734313964844
3,2,8_1,si,1.662383794784546
3,2,8_2,si,1.8625943660736084
3,2,16_2,si,1.875549554824829
3,2,8_1,no,1.6753695011138916
3,2,8_2,no,1.8581392765045166
3,2,16_2,no,1.8835117816925049
3,3,8_1,si,3.9334192276000977
3,3,8_2,si,4.268877983093262
3,3,16_2,si,4.360341310501099
3,3,8_1,no,3.9027857780456543
3,3,8_2,no,4.343172788619995
3,3,16_2,no,4.288617372512817
3,4,8_1,si,6.787533283233643
3,4,8_2,si,7.606968879699707
3,4,16_2,si,7.706019639968872
3,4,8_1,no,6.8415327072143555
3,4,8_2,no,7.628406524658203
3,4,16_2,no,7.669457197189331
4,1,8_1,si,0.40003252029418945
4,1,8_2,si,0.45248937606811523
4,1,16_2,si,0.4547309875488281
4,1,8_1,no,0.40230417251586914
4,1,8_2,no,0.45213866233825684
4,1,16_2,no,0.4577789306640625
4,2,8_1,si,1.6607191562652588
4,2,8_2,si,1.8586623668670654
4,2,16_2,si,1.8785207271575928
4,2,8_1,no,1.6572003364562988
4,2,8_2,no,1.858363151550293
4,2,16_2,no,1.8816349506378174
4,3,8_1,si,3.808598756790161
4,3,8_2,si,4.238710641860962
4,3,16_2,si,4.298711061477661
4,3,8_1,no,3.8016395568847656
4,3,8_2,no,4.254776954650879
4,3,16_2,no,4.3088459968566895
4,4,8_1,si,6.828806638717651
4,4,8_2,si,7.5913426876068115
4,4,16_2,si,7.600799798965454
4,4,8_1,no,6.825989723205566
4,4,8_2,no,7.571836709976196
4,4,16_2,no,7.701843738555908
5,1,8_1,si,0.41138172149658203
5,1,8_2,si,0.460986852645874
5,1,16_2,si,0.4627108573913574
5,1,8_1,no,0.40753674507141113
5,1,8_2,no,0.4657433032989502
5,1,16_2,no,0.46283912658691406
5,2,8_1,si,1.6651811599731445
5,2,8_2,si,1.8927068710327148
5,2,16_2,si,1.8753383159637451
5,2,8_1,no,1.6809723377227783
5,2,8_2,no,1.8616797924041748
5,2,16_2,no,1.8893325328826904
5,3,8_1,si,3.782930612564087
5,3,8_2,si,4.3568737506866455
5,3,16_2,si,4.316332578659058
5,3,8_1,no,3.834123373031616
5,3,8_2,no,4.337591648101807
5,3,16_2,no,4.397310972213745
5,4,8_1,si,6.754622220993042
5,4,8_2,si,7.755792856216431
5,4,16_2,si,7.674009799957275
5,4,8_1,no,6.811632871627808
5,4,8_2,no,7.639355897903442
5,4,16_2,no,7.738751173019409
6,1,8_1,si,0.40584564208984375
6,1,8_2,si,0.4534633159637451
6,1,16_2,si,0.47212743759155273
6,1,8_1,no,0.4114866256713867
6,1,8_2,no,0.4521911144256592
6,1,16_2,no,0.45711517333984375
6,2,8_1,si,1.663137435913086
6,2,8_2,si,1.9260334968566895
6,2,16_2,si,1.8693337440490723
6,2,8_1,no,1.7033541202545166
6,2,8_2,no,1.936070442199707
6,2,16_2,no,1.9015076160430908
6,3,8_1,si,3.8483200073242188
6,3,8_2,si,4.294058799743652
6,3,16_2,si,4.306595802307129
6,3,8_1,no,3.9654653072357178
6,3,8_2,no,4.289335489273071
6,3,16_2,no,4.336699962615967
6,4,8_1,si,6.821935653686523
6,4,8_2,si,7.654733896255493
6,4,16_2,si,7.644794702529907
6,4,8_1,no,6.84301233291626
6,4,8_2,no,7.617810964584351
6,4,16_2,no,7.723014831542969
7,1,8_1,si,0.4083850383758545
7,1,8_2,si,0.45232224464416504
7,1,16_2,si,0.4594564437866211
7,1,8_1,no,0.40441465377807617
7,1,8_2,no,0.4556713104248047
7,1,16_2,no,0.4594864845275879
7,2,8_1,si,1.6882987022399902
7,2,8_2,si,1.8984622955322266
7,2,16_2,si,1.8881373405456543
7,2,8_1,no,1.6744091510772705
7,2,8_2,no,1.8701746463775635
7,2,16_2,no,1.8995168209075928
7,3,8_1,si,3.802459239959717
7,3,8_2,si,4.279886484146118
7,3,16_2,si,4.309473276138306
7,3,8_1,no,3.805720329284668
7,3,8_2,no,4.267393589019775
7,3,16_2,no,4.317482233047485
7,4,8_1,si,6.815117359161377
7,4,8_2,si,7.646875381469727
7,4,16_2,si,7.739596128463745
7,4,8_1,no,6.91307258605957
7,4,8_2,no,7.638128995895386
7,4,16_2,no,7.68418288230896
8,1,8_1,si,0.40457916259765625
8,1,8_2,si,0.45262908935546875
8,1,16_2,si,0.45427727699279785
8,1,8_1,no,0.40784406661987305
8,1,8_2,no,0.48457956314086914
8,1,16_2,no,0.4593696594238281
8,2,8_1,si,1.6654269695281982
8,2,8_2,si,1.9114649295806885
8,2,16_2,si,1.9177453517913818
8,2,8_1,no,1.675715446472168
8,2,8_2,no,1.8627569675445557
8,2,16_2,no,1.8912177085876465
8,3,8_1,si,3.864631175994873
8,3,8_2,si,4.270620822906494
8,3,16_2,si,4.272039890289307
8,3,8_1,no,3.7853493690490723
8,3,8_2,no,4.254763603210449
8,3,16_2,no,4.300910949707031
8,4,8_1,si,6.733856439590454
8,4,8_2,si,7.518486738204956
8,4,16_2,si,7.5923542976379395
8,4,8_1,no,6.8887245655059814
8,4,8_2,no,7.610487699508667
8,4,16_2,no,7.702172517776489
9,1,8_1,si,0.40844297409057617
9,1,8_2,si,0.4542512893676758
9,1,16_2,si,0.458784818649292
9,1,8_1,no,0.40656352043151855
9,1,8_2,no,0.4563479423522949
9,1,16_2,no,0.46272897720336914
9,2,8_1,si,1.6518313884735107
9,2,8_2,si,1.9710519313812256
9,2,16_2,si,1.8679659366607666
9,2,8_1,no,1.6653892993927002
9,2,8_2,no,1.8681888580322266
9,2,16_2,no,1.9006385803222656
9,3,8_1,si,3.8995449542999268
9,3,8_2,si,4.378722429275513
9,3,16_2,si,4.303055286407471
9,3,8_1,no,3.82425856590271
9,3,8_2,no,4.278341054916382
9,3,16_2,no,4.324954271316528
9,4,8_1,si,6.819005727767944
9,4,8_2,si,7.576640844345093
9,4,16_2,si,7.65862774848938
9,4,8_1,no,6.834812164306641
9,4,8_2,no,7.6444411277771
9,4,16_2,no,7.701408624649048
10,1,8_1,si,0.40425825119018555
10,1,8_2,si,0.45291638374328613
10,1,16_2,si,0.45876336097717285
10,1,8_1,no,0.4052600860595703
10,1,8_2,no,0.45192813873291016
10,1,16_2,no,0.4502837657928467
10,2,8_1,si,1.6547398567199707
10,2,8_2,si,1.8625249862670898
10,2,16_2,si,1.8817875385284424
10,2,8_1,no,1.6763410568237305
10,2,8_2,no,1.890862226486206
10,2,16_2,no,1.8870439529418945
10,3,8_1,si,3.9146816730499268
10,3,8_2,si,4.352236270904541
10,3,16_2,si,4.39338231086731
10,3,8_1,no,3.818134307861328
10,3,8_2,no,4.401648998260498
10,3,16_2,no,4.328829765319824
10,4,8_1,si,6.919020414352417
10,4,8_2,si,7.581890821456909
10,4,16_2,si,7.600788593292236
10,4,8_1,no,6.767220497131348
10,4,8_2,no,7.583873987197876
10,4,16_2,no,7.671104431152344
11,1,8_1,si,0.40801167488098145
11,1,8_2,si,0.4561138153076172
11,1,16_2,si,0.45671772956848145
11,1,8_1,no,0.4086272716522217
11,1,8_2,no,0.4549083709716797
11,1,16_2,no,0.463411808013916
11,2,8_1,si,1.6944613456726074
11,2,8_2,si,1.8625903129577637
11,2,16_2,si,1.882408857345581
11,2,8_1,no,1.6888928413391113
11,2,8_2,no,1.881335973739624
11,2,16_2,no,1.88187837600708
11,3,8_1,si,3.794494867324829
11,3,8_2,si,4.254254102706909
11,3,16_2,si,4.284680604934692
11,3,8_1,no,3.7798516750335693
11,3,8_2,no,4.250999212265015
11,3,16_2,no,4.3004279136657715
11,4,8_1,si,6.937902212142944
11,4,8_2,si,7.624811887741089
11,4,16_2,si,7.6348254680633545
11,4,8_1,no,6.908116102218628
11,4,8_2,no,7.626042604446411
11,4,16_2,no,7.716084241867065
12,1,8_1,si,0.40540099143981934
12,1,8_2,si,0.4535529613494873
12,1,16_2,si,0.45717930793762207
12,1,8_1,no,0.4035768508911133
12,1,8_2,no,0.45014119148254395
12,1,16_2,no,0.4598653316497803
12,2,8_1,si,1.6560649871826172
12,2,8_2,si,1.8498218059539795
12,2,16_2,si,1.8653514385223389
12,2,8_1,no,1.6611483097076416
12,2,8_2,no,1.8516526222229004
12,2,16_2,no,1.8754911422729492
12,3,8_1,si,3.7932918071746826
12,3,8_2,si,4.312249422073364
12,3,16_2,si,4.29470682144165
12,3,8_1,no,3.8263731002807617
12,3,8_2,no,4.3402698040008545
12,3,16_2,no,4.313178777694702
12,4,8_1,si,6.773221492767334
12,4,8_2,si,7.630017280578613
12,4,16_2,si,7.597212553024292
12,4,8_1,no,6.789546251296997
12,4,8_2,no,7.5799400806427
12,4,16_2,no,7.713607311248779
13,1,8_1,si,0.40680837631225586
13,1,8_2,si,0.455277681350708
13,1,16_2,si,0.45826172828674316
13,1,8_1,no,0.4049687385559082
13,1,8_2,no,0.45369720458984375
13,1,16_2,no,0.4563281536102295
13,2,8_1,si,1.6633880138397217
13,2,8_2,si,1.8583488464355469
13,2,16_2,si,1.8732059001922607
13,2,8_1,no,1.6649894714355469
13,2,8_2,no,1.8577618598937988
13,2,16_2,no,1.889760971069336
13,3,8_1,si,3.7856760025024414
13,3,8_2,si,4.249428749084473
13,3,16_2,si,4.282493352890015
13,3,8_1,no,3.80401873588562
13,3,8_2,no,4.244378089904785
13,3,16_2,no,4.308211803436279
13,4,8_1,si,6.814256191253662
13,4,8_2,si,7.636918544769287
13,4,16_2,si,7.699529409408569
13,4,8_1,no,6.864441394805908
13,4,8_2,no,7.664560079574585
13,4,16_2,no,7.686284065246582
14,1,8_1,si,0.40713047981262207
14,1,8_2,si,0.45334291458129883
14,1,16_2,si,0.45685577392578125
14,1,8_1,no,0.40627098083496094
14,1,8_2,no,0.45651721954345703
14,1,16_2,no,0.460965633392334
14,2,8_1,si,1.668078899383545
14,2,8_2,si,1.8686752319335938
14,2,16_2,si,1.874830961227417
14,2,8_1,no,1.674818754196167
14,2,8_2,no,1.8620491027832031
14,2,16_2,no,1.8847084045410156
14,3,8_1,si,3.798053503036499
14,3,8_2,si,4.302883863449097
14,3,16_2,si,4.263749361038208
14,3,8_1,no,3.780123710632324
14,3,8_2,no,4.228217840194702
14,3,16_2,no,4.279612302780151
14,4,8_1,si,6.793680429458618
14,4,8_2,si,7.815783977508545
14,4,16_2,si,7.687770128250122
14,4,8_1,no,6.8294148445129395
14,4,8_2,no,7.626330614089966
14,4,16_2,no,7.713462591171265
15,1,8_1,si,0.40759873390197754
15,1,8_2,si,0.45597219467163086
15,1,16_2,si,0.4591546058654785
15,1,8_1,no,0.4064064025878906
15,1,8_2,no,0.455399751663208
15,1,16_2,no,0.46241021156311035
15,2,8_1,si,1.673218011856079
15,2,8_2,si,1.8818140029907227
15,2,16_2,si,1.8789551258087158
15,2,8_1,no,1.6732778549194336
15,2,8_2,no,1.8631653785705566
15,2,16_2,no,1.8893167972564697
15,3,8_1,si,3.868553638458252
15,3,8_2,si,4.278646945953369
15,3,16_2,si,4.293617486953735
15,3,8_1,no,3.827439546585083
15,3,8_2,no,4.248801231384277
15,3,16_2,no,4.31938624382019
15,4,8_1,si,6.799550294876099
15,4,8_2,si,7.601755380630493
15,4,16_2,si,7.6639885902404785
15,4,8_1,no,6.807027816772461
15,4,8_2,no,7.621428728103638
15,4,16_2,no,7.7725043296813965
16,1,8_1,si,0.4057936668395996
16,1,8_2,si,0.4553980827331543
16,1,16_2,si,0.45815062522888184
16,1,8_1,no,0.4033517837524414
16,1,8_2,no,0.45689940452575684
16,1,16_2,no,0.4602677822113037
16,2,8_1,si,1.6739435195922852
16,2,8_2,si,1.8457422256469727
16,2,16_2,si,1.8648507595062256
16,2,8_1,no,1.6602654457092285
16,2,8_2,no,1.857149600982666
16,2,16_2,no,1.8805296421051025
16,3,8_1,si,3.7796640396118164
16,3,8_2,si,4.21527624130249
16,3,16_2,si,4.270219802856445
16,3,8_1,no,3.827101945877075
16,3,8_2,no,4.253544092178345
16,3,16_2,no,4.278264284133911
16,4,8_1,si,6.810287237167358
16,4,8_2,si,7.608068466186523
16,4,16_2,si,7.668564558029175
16,4,8_1,no,6.845898389816284
16,4,8_2,no,7.567395210266113
16,4,16_2,no,7.689318656921387
17,1,8_1,si,0.40721678733825684
17,1,8_2,si,0.4538106918334961
17,1,16_2,si,0.4939553737640381
17,1,8_1,no,0.43225765228271484
17,1,8_2,no,0.46346116065979004
17,1,16_2,no,0.48187851905822754
17,2,8_1,si,1.6960947513580322
17,2,8_2,si,1.8708233833312988
17,2,16_2,si,1.875403642654419
17,2,8_1,no,1.6945652961730957
17,2,8_2,no,1.8676388263702393
17,2,16_2,no,1.8840763568878174
17,3,8_1,si,3.7849974632263184
17,3,8_2,si,4.251459121704102
17,3,16_2,si,4.2760889530181885
17,3,8_1,no,3.779951572418213
17,3,8_2,no,4.221475124359131
17,3,16_2,no,4.28776741027832
17,4,8_1,si,6.8509440422058105
17,4,8_2,si,7.821300268173218
17,4,16_2,si,7.722665309906006
17,4,8_1,no,6.844733238220215
17,4,8_2,no,7.83512806892395
17,4,16_2,no,7.743244409561157
18,1,8_1,si,0.4059274196624756
18,1,8_2,si,0.4572930335998535
18,1,16_2,si,0.4599473476409912
18,1,8_1,no,0.4049828052520752
18,1,8_2,no,0.4559755325317383
18,1,16_2,no,0.46177244186401367
18,2,8_1,si,1.678346872329712
18,2,8_2,si,1.8852057456970215
18,2,16_2,si,1.872452974319458
18,2,8_1,no,1.6796624660491943
18,2,8_2,no,1.8716778755187988
18,2,16_2,no,1.892153263092041
18,3,8_1,si,3.7777397632598877
18,3,8_2,si,4.220505952835083
18,3,16_2,si,4.2474164962768555
18,3,8_1,no,3.753278970718384
18,3,8_2,no,4.230433225631714
18,3,16_2,no,4.286007881164551
18,4,8_1,si,6.841968297958374
18,4,8_2,si,7.629702806472778
18,4,16_2,si,7.651185035705566
18,4,8_1,no,6.840249061584473
18,4,8_2,no,7.62851357460022
18,4,16_2,no,7.68757176399231
19,1,8_1,si,0.4050438404083252
19,1,8_2,si,0.4520113468170166
19,1,16_2,si,0.45565152168273926
19,1,8_1,no,0.40240478515625
19,1,8_2,no,0.45006346702575684
19,1,16_2,no,0.4562721252441406
19,2,8_1,si,1.6579668521881104
19,2,8_2,si,1.8510677814483643
19,2,16_2,si,1.868591547012329
19,2,8_1,no,1.6583292484283447
19,2,8_2,no,1.8580753803253174
19,2,16_2,no,1.8915607929229736
19,3,8_1,si,3.7851970195770264
19,3,8_2,si,4.222094774246216
19,3,16_2,si,4.259622097015381
19,3,8_1,no,3.795766592025757
19,3,8_2,no,4.237633466720581
19,3,16_2,no,4.292292356491089
19,4,8_1,si,6.778867721557617
19,4,8_2,si,7.56295919418335
19,4,16_2,si,7.617699146270752
19,4,8_1,no,6.780610799789429
19,4,8_2,no,7.7160680294036865
19,4,16_2,no,7.703851222991943
20,1,8_1,si,0.40595531463623047
20,1,8_2,si,0.45555949211120605
20,1,16_2,si,0.45707082748413086
20,1,8_1,no,0.4048006534576416
20,1,8_2,no,0.45211195945739746
20,1,16_2,no,0.4607245922088623
20,2,8_1,si,1.660297155380249
20,2,8_2,si,1.8606998920440674
20,2,16_2,si,1.880519151687622
20,2,8_1,no,1.6759319305419922
20,2,8_2,no,1.8639307022094727
20,2,16_2,no,1.8863224983215332
20,3,8_1,si,3.7589337825775146
20,3,8_2,si,4.204678297042847
20,3,16_2,si,4.254838705062866
20,3,8_1,no,3.836540460586548
20,3,8_2,no,4.391267776489258
20,3,16_2,no,4.2987706661224365
20,4,8_1,si,6.826621770858765
20,4,8_2,si,7.638402223587036
20,4,16_2,si,7.649096727371216
20,4,8_1,no,6.889203071594238
20,4,8_2,no,7.676378965377808
20,4,16_2,no,7.7018983364105225
21,1,8_1,si,0.40786242485046387
21,1,8_2,si,0.45267510414123535
21,1,16_2,si,0.4530818462371826
21,1,8_1,no,0.4070408344268799
21,1,8_2,no,0.4546349048614502
21,1,16_2,no,0.4625115394592285
21,2,8_1,si,1.6661081314086914
21,2,8_2,si,1.8677446842193604
21,2,16_2,si,1.876035213470459
21,2,8_1,no,1.6666276454925537
21,2,8_2,no,1.8702473640441895
21,2,16_2,no,1.8755896091461182
21,3,8_1,si,3.7600016593933105
21,3,8_2,si,4.216227293014526
21,3,16_2,si,4.25268030166626
21,3,8_1,no,3.7846570014953613
21,3,8_2,no,4.271678447723389
21,3,16_2,no,4.340201139450073
21,4,8_1,si,6.794971704483032
21,4,8_2,si,7.582002639770508
21,4,16_2,si,7.662595510482788
21,4,8_1,no,6.842449426651001
21,4,8_2,no,7.734596252441406
21,4,16_2,no,7.717869997024536
22,1,8_1,si,0.4094259738922119
22,1,8_2,si,0.45737600326538086
22,1,16_2,si,0.4595823287963867
22,1,8_1,no,0.40990447998046875
22,1,8_2,no,0.45859360694885254
22,1,16_2,no,0.4633808135986328
22,2,8_1,si,1.6758477687835693
22,2,8_2,si,1.868166208267212
22,2,16_2,si,1.8888418674468994
22,2,8_1,no,1.6940858364105225
22,2,8_2,no,1.8825123310089111
22,2,16_2,no,1.9664855003356934
22,3,8_1,si,3.789987325668335
22,3,8_2,si,4.251160144805908
22,3,16_2,si,4.286530494689941
22,3,8_1,no,3.7831873893737793
22,3,8_2,no,4.235460042953491
22,3,16_2,no,4.376427173614502
22,4,8_1,si,6.914011240005493
22,4,8_2,si,7.64371132850647
22,4,16_2,si,7.672013282775879
22,4,8_1,no,6.857073783874512
22,4,8_2,no,7.6203765869140625
22,4,16_2,no,7.7885894775390625
23,1,8_1,si,0.4041249752044678
23,1,8_2,si,0.4533271789550781
23,1,16_2,si,0.4555044174194336
23,1,8_1,no,0.42675304412841797
23,1,8_2,no,0.47872495651245117
23,1,16_2,no,0.46477770805358887
23,2,8_1,si,1.7458462715148926
23,2,8_2,si,1.8507351875305176
23,2,16_2,si,1.872126579284668
23,2,8_1,no,1.6622064113616943
23,2,8_2,no,1.8566057682037354
23,2,16_2,no,1.881873369216919
23,3,8_1,si,3.8293020725250244
23,3,8_2,si,4.240903615951538
23,3,16_2,si,4.251946449279785
23,3,8_1,no,3.7837541103363037
23,3,8_2,no,4.234719753265381
23,3,16_2,no,4.276302814483643
23,4,8_1,si,6.831676483154297
23,4,8_2,si,7.624541521072388
23,4,16_2,si,7.827053070068359
23,4,8_1,no,6.779196739196777
23,4,8_2,no,7.667906761169434
23,4,16_2,no,7.725520372390747
24,1,8_1,si,0.4039127826690674
24,1,8_2,si,0.45491647720336914
24,1,16_2,si,0.4571528434753418
24,1,8_1,no,0.4051802158355713
24,1,8_2,no,0.4538595676422119
24,1,16_2,no,0.45398402214050293
24,2,8_1,si,1.6671967506408691
24,2,8_2,si,1.8567471504211426
24,2,16_2,si,1.8632490634918213
24,2,8_1,no,1.6636698246002197
24,2,8_2,no,1.8604645729064941
24,2,16_2,no,1.8894569873809814
24,3,8_1,si,3.807431936264038
24,3,8_2,si,4.249105930328369
24,3,16_2,si,4.246919870376587
24,3,8_1,no,3.7709293365478516
24,3,8_2,no,4.27165961265564
24,3,16_2,no,4.277378082275391
24,4,8_1,si,6.866970539093018
24,4,8_2,si,7.555043697357178
24,4,16_2,si,7.579915523529053
24,4,8_1,no,6.77035927772522
24,4,8_2,no,7.577576398849487
24,4,16_2,no,7.767885208129883
25,1,8_1,si,0.40596699714660645
25,1,8_2,si,0.45025181770324707
25,1,16_2,si,0.4554474353790283
25,1,8_1,no,0.40396714210510254
25,1,8_2,no,0.4504666328430176
25,1,16_2,no,0.4563889503479004
25,2,8_1,si,1.646766185760498
25,2,8_2,si,1.867737054824829
25,2,16_2,si,1.886817216873169
25,2,8_1,no,1.669405221939087
25,2,8_2,no,1.8593366146087646
25,2,16_2,no,1.8769445419311523
25,3,8_1,si,3.793764114379883
25,3,8_2,si,4.206782579421997
25,3,16_2,si,4.23194694519043
25,3,8_1,no,3.748328924179077
25,3,8_2,no,4.258004426956177
25,3,16_2,no,4.372168302536011
25,4,8_1,si,6.784414291381836
25,4,8_2,si,7.574875354766846
25,4,16_2,si,7.616278171539307
25,4,8_1,no,6.831884384155273
25,4,8_2,no,7.627580642700195
25,4,16_2,no,7.6775102615356445
26,1,8_1,si,0.40512609481811523
26,1,8_2,si,0.45574188232421875
26,1,16_2,si,0.4568300247192383
26,1,8_1,no,0.40633678436279297
26,1,8_2,no,0.4551045894622803
26,1,16_2,no,0.45971083641052246
26,2,8_1,si,1.6631486415863037
26,2,8_2,si,1.8657333850860596
26,2,16_2,si,1.8767340183258057
26,2,8_1,no,1.6672511100769043
26,2,8_2,no,1.8639557361602783
